id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
208,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,236,UNIT,2019/2020
209,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,26,UNIT,2019/2020
210,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,209,UNIT,2019/2020
211,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,16,UNIT,2019/2020
212,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,28,UNIT,2019/2020
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,21,UNIT,2019/2020
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,54,UNIT,2019/2020
215,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,10,UNIT,2019/2020
216,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,15,UNIT,2019/2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,103,UNIT,2020/2021
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,621,UNIT,2020/2021
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,162,UNIT,2020/2021
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,194,UNIT,2020/2021
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,155,UNIT,2020/2021
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,237,UNIT,2020/2021
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,77,UNIT,2020/2021
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,261,UNIT,2020/2021
225,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,145,UNIT,2020/2021
226,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,268,UNIT,2020/2021
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,137,UNIT,2020/2021
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,145,UNIT,2020/2021
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,80,UNIT,2020/2021
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,51,UNIT,2020/2021
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,78,UNIT,2020/2021
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,31,UNIT,2020/2021
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,80,UNIT,2020/2021
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,128,UNIT,2020/2021
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,79,UNIT,2020/2021
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,40,UNIT,2020/2021
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,72,UNIT,2020/2021
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,50,UNIT,2020/2021
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,90,UNIT,2020/2021
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,124,UNIT,2020/2021
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,77,UNIT,2020/2021
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,98,UNIT,2020/2021
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,78,UNIT,2020/2021
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,35,UNIT,2020/2021
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,89,UNIT,2020/2021
246,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,106,UNIT,2020/2021
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,98,UNIT,2020/2021
248,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,266,UNIT,2020/2021
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,67,UNIT,2020/2021
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,116,UNIT,2020/2021
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,37,UNIT,2020/2021
252,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,16,UNIT,2020/2021
253,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,20,UNIT,2020/2021
254,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,107,UNIT,2020/2021
255,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,16,UNIT,2020/2021
256,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,31,UNIT,2020/2021
257,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,75,UNIT,2020/2021
258,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,194,UNIT,2020/2021
259,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,18,UNIT,2020/2021
260,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,31,UNIT,2020/2021
261,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,56,UNIT,2020/2021
262,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,242,UNIT,2020/2021
263,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,33,UNIT,2020/2021
264,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,218,UNIT,2020/2021
265,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,16,UNIT,2020/2021
266,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,29,UNIT,2020/2021
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,21,UNIT,2020/2021
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,60,UNIT,2020/2021
269,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,10,UNIT,2020/2021
270,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,16,UNIT,2020/2021
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,105,UNIT,2021/2022
272,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,640,UNIT,2021/2022
273,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,162,UNIT,2021/2022
274,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,197,UNIT,2021/2022
275,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,155,UNIT,2021/2022
276,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,252,UNIT,2021/2022
277,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,81,UNIT,2021/2022
278,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,268,UNIT,2021/2022
279,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,140,UNIT,2021/2022
280,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,277,UNIT,2021/2022
281,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,137,UNIT,2021/2022
