id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,18,UNIT,2020/2021
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,77,UNIT,2020/2021
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,19,UNIT,2020/2021
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,90,UNIT,2020/2021
225,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,32,UNIT,2020/2021
226,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,95,UNIT,2020/2021
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,18,UNIT,2020/2021
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,53,UNIT,2020/2021
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,17,UNIT,2020/2021
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,14,UNIT,2020/2021
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,19,UNIT,2020/2021
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,8,UNIT,2020/2021
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,21,UNIT,2020/2021
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,28,UNIT,2020/2021
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,16,UNIT,2020/2021
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,6,UNIT,2020/2021
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,15,UNIT,2020/2021
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,14,UNIT,2020/2021
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,23,UNIT,2020/2021
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,29,UNIT,2020/2021
